Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	2.5085713863372803	-227.15741	0.0	-227.15741	-227.15741	1000.0	-242.17836	0.0	-242.17836	-242.17836	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-37.00047	8.482614	-9.236753	-62.235703	-360.8759	14.854883	-325.08313	-398.3246	-3.1458533	1.4062537	-0.19326895	-8.528667	357.73007	14.92141	396.3907	319.18454	357.73007	14.92141	396.3907	319.18454	0.99126816	0.003938801	0.9994175	0.9747007	128193.43	10716.478	157125.58	101878.77	354.61716	15.111761	394.46622	313.393
1	1999	5.008956670761108	-246.86383	0.0	-246.86383	-246.86383	1000.0	-242.17836	0.0	-242.17836	-242.17836	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-31.878195	6.628822	-16.042097	-45.966225	-353.60815	16.965298	-308.18787	-393.8018	-3.08002	1.398862	-0.17298383	-8.126456	350.5281	16.989471	391.86615	303.9097	350.5281	16.989471	391.86615	303.9097	0.9912743	0.0039803814	0.9995074	0.9771645	123158.6	11923.894	153559.08	92361.12	347.4805	17.122824	389.94003	299.69095
2	2999	7.5068511962890625	-254.69455	0.0	-254.69455	-254.69455	1000.0	-244.49341	0.0	-244.49341	-244.49341	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-41.340054	6.3681493	-28.473352	-54.771103	-368.76953	15.269275	-342.67535	-420.87726	-3.081748	1.4103742	-0.033567496	-9.377508	365.68777	15.328096	418.21417	339.9423	365.68777	15.328096	418.21417	339.9423	0.99162984	0.0038457105	0.99990445	0.97504705	133962.48	11502.845	174903.1	115560.76	362.6372	15.509302	415.6449	334.06372
3	3999	10.003543615341187	-412.37357	0.0	-412.37357	-412.37357	1000.0	-245.0615	0.0	-245.0615	-245.0615	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-37.849667	5.2038193	-21.585684	-51.01006	-367.58698	13.649624	-335.95837	-407.33792	-3.110916	1.3585835	-0.18207555	-7.96735	364.47607	13.754317	406.59744	331.2399	364.47607	13.754317	406.59744	331.2399	0.99152136	0.0037296917	0.99949414	0.9781393	133031.98	10084.442	165321.48	109719.87	361.39658	13.983852	405.85834	326.23706
4	4999	12.487325429916382	-172.92632	0.0	-172.92632	-172.92632	1000.0	-232.00613	0.0	-232.00613	-232.00613	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-38.59133	8.399104	-22.108324	-65.24907	-349.17065	21.290995	-300.18878	-398.12332	-3.0519402	1.3616275	-0.18852052	-8.686581	346.11868	21.215471	394.83084	295.69815	346.11868	21.215471	394.83084	295.69815	0.9912479	0.0039050598	0.9994665	0.9738443	120248.25	14686.8	155891.4	87437.4	343.09872	21.22402	391.90274	291.27472
5	5999	33.605674266815186	-255.45776	0.0	-255.45776	-255.45776	1000.0	-0.5581012	0.0	-0.5581012	-0.5581012	1000.0	15.068179	14.28019	46.96309	-25.355894	9.666453	-2.8819287	2.9598172	46.602203	-11.776339	-17.637398	0.8718054	0.082642525	1.0081058	0.7380557	-0.9350085	0.81832796	0.8138454	26.15248	3.2782555e-06	-15.11831	13.770485	16.932827	-47.163006	57.86509	13.839549	89.999214	25.772205	40.060093	2.4164615	48.836327	34.57678	-17.804996	14.488754	13.782543	-51.382256	18.75193	13.2403555	51.382256	0.004891049	-0.26019835	0.21038204	0.5347832	-0.5797877	526.94196	567.6158	2640.1362	2.3922361e-05	7.54823	7.0881624	29.675432	6.139232e-07
6	6999	54.74878263473511	-192.80205	0.0	-192.80205	-192.80205	1000.0	-2.9553435	0.0	-2.9553435	-2.9553435	1000.0	56.389	9.127647	76.44916	33.47982	1.9876924	-3.8180737	0.83672345	2.1079538	-11.43746	-58.912514	0.63379157	0.056736995	0.7378232	0.5411392	-3.1358657	0.7549962	0.5871383	5.6150475	2.5555491e-06	-26.997265	8.974389	9.518055	-40.269367	47.92463	9.203943	84.31204	31.657572	69.447815	1.9454529	76.149925	63.908997	21.523188	8.910124	39.064003	-13.995427	21.89515	7.9523835	39.064003	0.053556673	0.49608928	0.25815085	1.1803343	-0.16632733	542.63794	333.18127	1525.9963	0.0028683175	12.901344	9.65297	44.86329	3.9802893e-05
7	7999	75.87271571159363	-291.299	0.0	-291.299	-291.299	1000.0	-2.4709213	0.0	-2.4709213	-2.4709213	1000.0	76.65701	3.8982239	89.852936	63.804245	1.6760718	-3.859129	0.772795	1.9725593	-8.468972	-78.546394	0.4664121	0.040897496	0.5409735	0.3993023	-5.256025	0.74744725	0.5757804	5.322086	8.940697e-07	-16.547544	12.068537	12.904208	-55.085125	59.97745	12.466567	90.27098	20.705202	81.40625	2.3457017	87.39139	75.17746	21.428793	12.130417	59.43995	-8.6461115	21.615236	11.794987	59.43995	0.017515294	0.4362978	0.4111181	2.8675885	-0.10056579	606.3402	636.0801	3533.1077	0.00030678554	13.955912	22.056316	170.2602	3.544554e-06
8	8999	96.9957184791565	-181.96625	0.0	-181.96625	-181.96625	1000.0	-3.2895472	0.0	-3.2895472	-3.2895472	1000.0	81.47324	2.7207487	92.31566	73.14921	1.4136856	-3.8514287	0.7836114	1.197733	-10.805932	-82.88982	0.3446954	0.029933672	0.39918128	0.29549685	-7.320893	0.74324584	0.56896585	4.7333846	5.8673322e-08	-24.732677	11.437246	4.351999	-41.80244	50.750095	11.803154	79.35411	31.868837	80.484764	2.3571262	87.84357	74.66469	29.734669	10.724028	50.89856	1.3320323	29.734669	10.724028	50.89856	1.3320323	0.66586125	0.35962045	1.5517802	0.01696568	999.15533	607.88324	2590.6633	1.7743101	23.53938	18.342834	78.229805	0.022598833
9	9999	118.13080930709839	-205.2237	0.0	-205.2237	-205.2237	1000.0	-6.339312	0.0	-6.339312	-6.339312	1000.0	77.18217	3.7606769	91.52542	66.55257	1.2387588	-3.8276956	0.8249191	1.3382406	-10.022419	-78.241684	0.25525278	0.02206319	0.29540774	0.21899152	-9.345306	0.7387332	0.56432074	4.738566	3.7401915e-06	-19.806002	11.689808	7.4941907	-38.96242	55.034946	12.098342	82.85043	35.03116	72.52957	2.8594296	82.06657	67.49995	17.494625	10.159054	35.554523	-9.361285	17.919035	9.390231	35.554523	0.0193899	0.373204	0.26257518	0.9892426	-0.11433673	409.26825	336.32147	1264.1243	0.00037596817	9.128282	8.810182	34.33454	5.0977856e-06
