Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	2.310673475265503	-189.94388	0.0	-189.94388	-189.94388	1000.0	-91.14535	0.0	-91.14535	-91.14535	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-45.46436	17.319944	-15.174638	-82.46985	-323.3788	23.454823	-268.43594	-369.1123	0.053679176	1.2117636	4.3365746	-3.410445	323.43246	23.45319	369.57315	269.08658	323.43246	23.45319	369.57315	269.08658	1.0001744	0.0037925001	1.013042	0.9891217	105158.62	15078.948	136584.33	72407.58	323.49075	23.51357	371.58438	268.00824
1	1999	4.562505722045898	-190.16672	0.0	-190.16672	-190.16672	1000.0	-91.14535	0.0	-91.14535	-91.14535	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-60.94575	15.813081	-30.236717	-96.56254	-330.273	21.292841	-288.12744	-373.8644	0.013125756	1.1919905	3.802171	-3.456509	330.28613	21.35715	373.87637	285.97037	330.28613	21.35715	373.87637	285.97037	1.0000345	0.0036502094	1.0117897	0.98810494	109545.055	14222.977	139783.55	81779.05	330.30356	21.486794	374.95053	282.56873
2	2999	6.810527563095093	-222.79478	0.0	-222.79478	-222.79478	1000.0	-92.91861	0.0	-92.91861	-92.91861	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-60.785587	12.139695	-21.572266	-80.35261	-340.0516	16.472927	-301.4246	-382.8926	0.044585604	1.3031397	4.22097	-4.1589932	340.0962	16.514683	382.18585	300.9206	340.0962	16.514683	382.18585	300.9206	1.0001328	0.0038376471	1.0129704	0.9882203	115938.14	11203.361	146066.02	90553.21	340.14578	16.658598	383.01343	299.86682
3	3999	9.05962085723877	-223.22878	0.0	-223.22878	-223.22878	1000.0	-64.02006	0.0	-64.02006	-64.02006	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-38.99296	16.933172	3.4991603	-74.80147	-311.5477	21.90864	-255.64056	-357.8789	-0.018116802	1.250325	4.41748	-3.8365278	311.52957	21.892616	357.83817	255.10988	311.52957	21.892616	357.83817	255.10988	0.99995327	0.004044853	1.0141675	0.98741883	97529.97	13507.589	128048.15	65081.055	311.51648	21.947504	358.53812	252.58275
4	4999	11.307562589645386	-330.36008	0.0	-330.36008	-330.36008	1000.0	-55.79357	0.0	-55.79357	-55.79357	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-55.24466	18.291712	-19.317799	-89.00771	-332.3222	29.998468	-278.57568	-401.23495	0.024594026	1.2692374	4.8237753	-3.6525383	332.34677	30.06826	402.26123	276.2211	332.34677	30.06826	402.26123	276.2211	1.0000631	0.0038656022	1.0148027	0.98824364	111358.484	20429.64	161814.1	76298.1	332.37625	30.190851	403.96103	273.06625
5	5999	19.35246515274048	-313.9496	0.0	-313.9496	-313.9496	1000.0	-0.9626004	0.0	-0.9626004	-0.9626004	1000.0	4.1502085	3.358875	17.080454	-7.378778	7.97862	-3.0741308	2.5693502	38.97295	-10.99177	-6.71224	0.86315185	0.0835044	1.005792	0.7295302	-1.0142668	0.7825677	0.72508395	22.720535	1.206994e-06	-33.285572	19.756489	10.828257	-74.32422	43.24561	19.952002	85.867905	0.224005	8.332231	1.9801489	16.500381	1.8494879	-34.913383	19.92856	9.5716915	-80.77299	35.341732	19.158644	80.77299	0.048183646	-0.70996535	0.30352685	0.9571691	-0.96973324	1616.0917	1417.1863	6524.276	0.0023216635	29.241608	17.984787	76.19817	0.00023216636
6	6999	27.402222871780396	-268.74615	0.0	-268.74615	-268.74615	1000.0	-2.0017939	0.0	-2.0017939	-2.0017939	1000.0	12.068974	3.0470653	25.605915	2.1897624	6.119198	-3.8217137	0.8048924	3.0678449	-9.209055	-14.64515	0.6270574	0.055705793	0.7293004	0.5360834	-3.2072573	0.7354155	0.5675554	5.7957263	8.1956387e-07	-27.997894	15.797665	5.3599896	-58.11584	45.89308	15.110614	77.23304	16.638374	14.448739	1.7949926	22.013472	9.7706175	-31.444342	14.975617	-0.042305216	-63.795643	31.444342	14.975617	63.795643	0.042305216	-0.64202857	0.15030935	-0.0024116763	-0.84503186	1213.0157	978.0663	4069.8838	0.0017897314	22.212193	13.05301	53.517265	0.00010202649
7	7999	35.494208097457886	-239.89507	0.0	-239.89507	-239.89507	1000.0	-1.4635589	0.0	-1.4635589	-1.4635589	1000.0	17.587265	2.7584975	28.339298	9.341831	2.4137418	-3.7439468	0.93642175	1.9556022	-10.37174	-19.566496	0.462897	0.04007413	0.53592116	0.3970353	-5.216162	0.7658557	0.5871998	5.1391206	6.109476e-07	-16.747103	12.507388	21.906734	-41.92246	56.04347	12.821686	95.62273	33.174973	20.772793	2.547994	28.028542	15.59905	-35.27067	13.633825	-10.608831	-75.566536	35.27067	13.633825	75.566536	10.608831	-0.60897624	0.10439436	-0.31963366	-0.8133224	1429.9016	1128.0354	5710.302	112.547295	22.795452	12.23149	61.44725	3.3909395
8	8999	43.536405086517334	-141.1724	0.0	-141.1724	-141.1724	1000.0	-7.0907035	0.0	-7.0907035	-7.0907035	1000.0	21.31957	2.7093832	33.414177	13.853183	1.7510313	-3.6421993	1.075872	2.939798	-9.892229	-22.835411	0.3432739	0.029426888	0.39691666	0.2950495	-7.118832	0.7909034	0.6044447	4.786291	5.9604645e-08	-20.031502	12.648771	10.164274	-47.693413	45.34967	13.459492	78.17251	26.53267	24.51826	3.4236615	33.748817	17.10342	-20.831408	15.13441	0.42332104	-56.551487	20.832214	15.1333	56.551487	0.38244227	-0.40865517	0.19282946	0.01437529	-0.73847646	662.998	853.0716	3198.0706	0.1462621	11.279161	11.621438	41.381115	0.004877545
9	9999	51.59586954116821	-272.04007	0.0	-272.04007	-272.04007	1000.0	-18.066765	0.0	-18.066765	-18.066765	1000.0	23.764338	2.865088	34.21482	15.387042	1.5628909	-3.389922	1.323826	5.6146116	-10.701568	-24.936073	0.25584733	0.021524025	0.29496333	0.22042342	-8.726049	0.81646526	0.6208664	5.690193	3.784895e-06	-22.300573	10.112885	5.0114183	-38.27885	41.44771	11.961093	72.82794	24.078718	26.790789	2.614163	37.928925	17.431068	-14.656916	13.381377	5.457924	-49.300343	15.02546	12.9661875	49.300343	0.04351772	-0.29731026	0.21044993	0.21691759	-0.7052241	393.88647	594.94275	2430.5237	0.0018937921	7.0458703	8.909267	34.03768	7.0258604e-05
